path	bytes	lines	sha256	upstream_v6.18
drivers/misc/mediatek-consys/fmradio/mt6627/pub/mt6627_fm_config.c	5837	181	e9d96150f7a8b90dcdbecab7167f0b860a23ce8247a79234241b204a7e680b59	absent
drivers/misc/mediatek-consys/fmradio/mt6627/pub/mt6627_fm_lib.c	60705	2003	45ef5781d26f382653559cc4cd5a6d666f8b4ff6a8b405f78b08c16b275fea77	absent
drivers/misc/mediatek-consys/fmradio/mt6627/pub/mt6627_fm_rds.c	8556	309	e2417551e63b7385529ef9a8cabe9d1e5a30e05cd1e4b8551ee879da28225da1	absent
drivers/misc/mediatek-consys/plat/Makefile	122	2	6ea123cdae3e534bd0ca8afd64734f2319997e501a4ab4d972d4fdc37e94c3eb	absent
drivers/misc/mediatek-consys/plat/consys-mt6582.c	6100	185	faae98d5a00e66714c40956b95f204c5921e9c20f0f7b534f138e0d1a8be455f	absent
drivers/misc/mediatek-consys/plat/consys_res.c	1498	49	2f40ea924f8a04ea61fc079c231e8e7e1eb83cbbf8dad3aee75d4d53996ead89	absent
drivers/misc/mediatek-consys/plat/consys_wmt.c	4848	155	9ff6d7956b512bbae7848d71378ece4ca7936d0324273541fc0678fcd81969e3	absent
drivers/misc/mediatek-consys/plat/include/consys_plat.h	683	28	4a2c889277b003c567fd3680de014806c1ee4bef13f9026c2a2aeead7dfa79d0	absent
drivers/misc/mediatek-consys/plat/include/consys_res.h	1466	37	8c90f3914db582ae14614643e643b70a2d83ce8044b76a533ddf1a6fb71a55d0	absent
drivers/misc/mediatek-consys/plat/include/mach/eint.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mach/emi_mpu.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mach/mt6573_pll.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mach/mt_boot.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mach/mt_clkmgr.h	507	12	ba0091cc83150b49d3992020b16cb1754adda722007b08a63e4190ff43494dab	absent
drivers/misc/mediatek-consys/plat/include/mach/mt_dcm.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mach/mt_gpio.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mach/mt_irq.h	333	9	84d23fb4e8231596702493c9356dec5ea024f0e00c71286091b54ab54596ca2d	absent
drivers/misc/mediatek-consys/plat/include/mach/mt_pm_ldo.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mach/mt_reg_base.h	598	13	ca186a17378d513116ef8cca21cae1df5fa48727ade2e21bc08f360806c1567d	absent
drivers/misc/mediatek-consys/plat/include/mach/mtk_rtc.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mach/mtk_wcn_cmb_stub.h	5340	156	b7f85893a5f36982e0f36ca6d63f9af0a077d8f734820d97875fb85b8023bafe	absent
drivers/misc/mediatek-consys/plat/include/mach/sync_write.h	575	11	9cef9c22f15b6723d111d19e8c95859cd5656b136d7288f81398bc0fa0b6ef38	absent
drivers/misc/mediatek-consys/plat/include/mach/upmu_common.h	116	2	29da78bb0c633749667f27734aa359581ceb585c8a5f2f0db525ed9913212995	absent
drivers/misc/mediatek-consys/plat/include/mtk_wcn_consys_hw.h	8869	237	a27f945a1cc0fa1bd8fc2760675a361c2e5d52798a60c7380f8270bb6f461162	absent
drivers/misc/mediatek-consys/plat/mtk_wcn_consys_hw.c	17366	486	5e1cce7a11d78a340371a7d2b9ae29282b21ad0437cb8ddc67e690760ebbf8e7	absent
